Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.144,1.0,1.0
7z,solverBased,0.145,1.0,1.0
7z,solverBased,0.146,1.0,1.0
7z,solverBased,0.147,1.0,1.0
7z,solverBased,0.148,1.0,1.0
7z,solverBased,0.149,1.0,1.0
7z,solverBased,0.15,1.0,1.0
7z,solverBased,0.151,1.0,1.0
7z,solverBased,0.152,1.0,1.0
7z,solverBased,0.153,1.0,1.0
7z,solverBased,0.154,1.0,1.0
7z,solverBased,0.155,1.0,1.0
7z,solverBased,0.156,1.0,1.0
7z,solverBased,0.157,1.0,1.0
7z,solverBased,0.158,1.0,1.0
7z,solverBased,0.159,1.0,1.0
7z,solverBased,0.16,1.0,1.0
7z,solverBased,0.161,1.0,1.0
7z,solverBased,0.162,1.0,1.0
7z,solverBased,0.163,1.0,1.0
7z,solverBased,0.164,1.0,1.0
7z,solverBased,0.165,1.0,1.0
7z,solverBased,0.166,1.0,1.0
7z,solverBased,0.167,1.0,1.0
7z,solverBased,0.168,1.0,1.0
7z,solverBased,0.169,1.0,1.0
7z,solverBased,0.17,1.0,1.0
7z,solverBased,0.171,1.0,1.0
7z,solverBased,0.172,1.0,1.0
7z,solverBased,0.173,1.0,1.0
7z,solverBased,0.174,1.0,1.0
7z,solverBased,0.175,1.0,1.0
7z,solverBased,0.176,1.0,1.0
7z,solverBased,0.177,1.0,1.0
7z,solverBased,0.178,1.0,1.0
7z,solverBased,0.179,1.0,1.0
7z,solverBased,0.18,1.0,1.0
7z,solverBased,0.181,1.0,1.0
7z,solverBased,0.182,1.0,1.0
7z,solverBased,0.183,1.0,1.0
7z,solverBased,0.184,1.0,1.0
7z,solverBased,0.185,1.0,1.0
7z,solverBased,0.186,1.0,1.0
7z,solverBased,0.187,1.0,1.0
7z,solverBased,0.188,1.0,1.0
7z,solverBased,0.189,1.0,1.0
7z,solverBased,0.19,1.0,1.0
7z,solverBased,0.191,1.0,1.0
7z,solverBased,0.192,1.0,1.0
7z,solverBased,0.193,1.0,1.0
7z,solverBased,0.194,1.0,1.0
7z,solverBased,0.195,1.0,1.0
7z,solverBased,0.196,1.0,1.0
7z,solverBased,0.197,1.0,1.0
7z,solverBased,0.198,1.0,1.0
7z,solverBased,0.199,1.0,1.0
7z,solverBased,0.2,1.0,1.0
7z,solverBased,0.201,1.0,1.0
7z,solverBased,0.202,1.0,1.0
7z,solverBased,0.203,1.0,1.0
7z,solverBased,0.204,1.0,1.0
7z,solverBased,0.205,1.0,1.0
