Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,solverBased,0.132,0.0
Dune,solverBased,0.133,0.0
Dune,solverBased,0.134,0.0
Dune,solverBased,0.135,0.0
Dune,solverBased,0.136,0.0
Dune,solverBased,0.137,0.0
Dune,solverBased,0.138,0.0
Dune,solverBased,0.139,0.0
Dune,solverBased,0.14,0.0
Dune,solverBased,0.141,0.0
Dune,solverBased,0.142,0.0
Dune,solverBased,0.143,0.0
Dune,solverBased,0.144,0.0
Dune,solverBased,0.145,0.0
Dune,solverBased,0.146,0.0
Dune,solverBased,0.147,0.0
Dune,solverBased,0.148,0.0
Dune,solverBased,0.149,0.0
Dune,solverBased,0.15,0.0
Dune,solverBased,0.151,0.0
Dune,solverBased,0.152,0.0
Dune,solverBased,0.153,0.0
Dune,solverBased,0.154,0.0
Dune,solverBased,0.155,0.0
Dune,solverBased,0.156,0.0
Dune,solverBased,0.157,0.0
Dune,solverBased,0.158,0.0
Dune,solverBased,0.159,0.0
Dune,solverBased,0.16,0.0
Dune,solverBased,0.161,0.0
Dune,solverBased,0.162,0.0
Dune,solverBased,0.163,0.0
Dune,solverBased,0.164,0.0
Dune,solverBased,0.165,0.0
Dune,solverBased,0.166,0.0
Dune,solverBased,0.167,0.0
Dune,solverBased,0.168,0.0
Dune,solverBased,0.169,0.0
Dune,solverBased,0.17,0.0
Dune,solverBased,0.171,0.0
Dune,solverBased,0.172,0.0
Dune,solverBased,0.173,0.0
Dune,solverBased,0.174,0.0
Dune,solverBased,0.175,0.0
Dune,solverBased,0.176,0.0
Dune,solverBased,0.177,0.0
Dune,solverBased,0.178,0.0
Dune,solverBased,0.179,0.0
Dune,solverBased,0.18,0.0
Dune,solverBased,0.181,0.0
Dune,solverBased,0.182,0.0
Dune,solverBased,0.183,0.0
Dune,solverBased,0.184,0.0
Dune,solverBased,0.185,0.0
Dune,solverBased,0.186,0.0
Dune,solverBased,0.187,0.0
Dune,solverBased,0.188,0.0
Dune,solverBased,0.189,0.0
Dune,solverBased,0.19,0.0
Dune,solverBased,0.191,0.0
Dune,solverBased,0.192,0.0
Dune,solverBased,0.193,0.0
Dune,solverBased,0.194,0.0
Dune,solverBased,0.195,0.0
Dune,solverBased,0.196,0.0
Dune,solverBased,0.197,0.0
Dune,solverBased,0.198,0.0
Dune,solverBased,0.199,0.0
Dune,solverBased,0.2,0.0
Dune,solverBased,0.201,0.0
Dune,solverBased,0.202,0.0
Dune,solverBased,0.203,0.0
Dune,solverBased,0.204,0.0
Dune,solverBased,0.205,0.0
Dune,solverBased,0.206,0.0
Dune,solverBased,0.207,0.0
Dune,solverBased,0.208,0.0
Dune,solverBased,0.209,0.0
Dune,solverBased,0.21,0.0
Dune,solverBased,0.211,0.0
Dune,solverBased,0.212,0.0
Dune,solverBased,0.213,0.0
Dune,solverBased,0.214,0.0
Dune,solverBased,0.215,0.0
Dune,solverBased,0.216,0.0
Dune,solverBased,0.217,0.0
Dune,solverBased,0.218,0.0
Dune,solverBased,0.219,0.0
Dune,solverBased,0.22,0.0
Dune,solverBased,0.221,0.0
Dune,solverBased,0.222,0.0
Dune,solverBased,0.223,0.0
Dune,solverBased,0.224,0.0
Dune,solverBased,0.225,0.0
Dune,solverBased,0.226,0.0
Dune,solverBased,0.227,0.0
Dune,solverBased,0.228,0.0
Dune,solverBased,0.229,0.0
Dune,solverBased,0.23,0.0
Dune,solverBased,0.231,0.0
Dune,solverBased,0.232,0.0
Dune,solverBased,0.233,0.0
Dune,solverBased,0.234,0.0
Dune,solverBased,0.235,0.0
Dune,solverBased,0.236,0.0
Dune,solverBased,0.237,0.0
Dune,solverBased,0.238,0.0
Dune,solverBased,0.239,0.0
Dune,solverBased,0.24,0.0
Dune,solverBased,0.241,0.0
Dune,solverBased,0.242,0.0
Dune,solverBased,0.243,0.0
Dune,solverBased,0.244,0.0
Dune,solverBased,0.245,0.0
Dune,solverBased,0.246,0.0
Dune,solverBased,0.247,0.0
Dune,solverBased,0.248,0.0
Dune,solverBased,0.249,0.0
Dune,solverBased,0.25,0.0
Dune,solverBased,0.251,0.0
Dune,solverBased,0.252,0.0
Dune,solverBased,0.253,0.0
Dune,solverBased,0.254,0.0
Dune,solverBased,0.255,0.0
Dune,solverBased,0.256,0.0
Dune,solverBased,0.257,0.0
Dune,solverBased,0.258,0.0
Dune,solverBased,0.259,0.0
Dune,solverBased,0.26,0.0
Dune,solverBased,0.261,0.0
Dune,solverBased,0.262,0.0
Dune,solverBased,0.263,0.0
Dune,solverBased,0.264,0.0
Dune,solverBased,0.265,0.0
Dune,solverBased,0.266,0.0
Dune,solverBased,0.267,0.0
Dune,solverBased,0.268,0.0
Dune,solverBased,0.269,0.0
Dune,solverBased,0.27,0.0
Dune,solverBased,0.271,0.0
Dune,solverBased,0.272,0.0
Dune,solverBased,0.273,0.0
Dune,solverBased,0.274,0.0
Dune,solverBased,0.275,0.0
Dune,solverBased,0.276,0.0
Dune,solverBased,0.277,0.0
Dune,solverBased,0.278,0.0
Dune,solverBased,0.279,0.0
Dune,solverBased,0.28,0.0
Dune,solverBased,0.281,0.0
Dune,solverBased,0.282,0.0
Dune,solverBased,0.283,0.0
Dune,solverBased,0.284,0.0
Dune,solverBased,0.285,0.0
Dune,solverBased,0.286,0.0
Dune,solverBased,0.287,0.0
Dune,solverBased,0.288,0.0
Dune,solverBased,0.289,0.0
Dune,solverBased,0.29,0.0
Dune,solverBased,0.291,0.0
Dune,solverBased,0.292,0.0
Dune,solverBased,0.293,0.0
Dune,solverBased,0.294,0.0
Dune,solverBased,0.295,0.0
Dune,solverBased,0.296,0.0
Dune,solverBased,0.297,0.0
Dune,solverBased,0.298,0.0
Dune,solverBased,0.299,0.0
Dune,solverBased,0.3,0.0
Dune,solverBased,0.301,0.0
Dune,solverBased,0.302,0.0
Dune,solverBased,0.303,0.0
Dune,solverBased,0.304,0.0
Dune,solverBased,0.305,0.0
Dune,solverBased,0.306,0.0
Dune,solverBased,0.307,0.0
Dune,solverBased,0.308,0.0
Dune,solverBased,0.309,0.0
Dune,solverBased,0.31,0.0
Dune,solverBased,0.311,0.0
Dune,solverBased,0.312,0.0
Dune,solverBased,0.313,0.0
Dune,solverBased,0.314,0.0
Dune,solverBased,0.315,0.0
Dune,solverBased,0.316,0.0
Dune,solverBased,0.317,0.0
Dune,solverBased,0.318,0.0
Dune,solverBased,0.319,0.0
Dune,solverBased,0.32,0.0
Dune,solverBased,0.321,0.0
Dune,solverBased,0.322,0.0
Dune,solverBased,0.323,0.0
Dune,solverBased,0.324,0.0
Dune,solverBased,0.325,0.0
Dune,solverBased,0.326,0.0
Dune,solverBased,0.327,0.0
Dune,solverBased,0.328,0.0
Dune,solverBased,0.329,0.0
Dune,solverBased,0.33,0.0
Dune,solverBased,0.331,0.0
Dune,solverBased,0.332,0.0
Dune,solverBased,0.333,0.0
Dune,solverBased,0.334,0.0
Dune,solverBased,0.335,0.0
Dune,solverBased,0.336,0.0
Dune,solverBased,0.337,0.0
