Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,divDistBased,0.096,1.0,0.999949358543658
BerkeleyDBC,divDistBased,0.097,1.0,0.9999545640586028
BerkeleyDBC,divDistBased,0.098,1.0,0.9999592393895942
BerkeleyDBC,divDistBased,0.099,1.0,0.999963438036063
BerkeleyDBC,divDistBased,0.1,1.0,0.9999672081495214
BerkeleyDBC,divDistBased,0.101,1.0,0.999970593063087
BerkeleyDBC,divDistBased,0.102,1.0,0.9999736317690784
BerkeleyDBC,divDistBased,0.103,1.0,0.9999763593497272
BerkeleyDBC,divDistBased,0.104,1.0,0.9999788073655594
BerkeleyDBC,divDistBased,0.105,1.0,0.9999810042055745
BerkeleyDBC,divDistBased,0.106,1.0,0.9999829754029312
BerkeleyDBC,divDistBased,0.107,1.0,0.9999847439195196
BerkeleyDBC,divDistBased,0.108,1.0,0.9999863304024412
BerkeleyDBC,divDistBased,0.109,1.0,0.9999877534151564
BerkeleyDBC,divDistBased,0.11,1.0,0.9999890296457664
BerkeleyDBC,divDistBased,0.111,1.0,0.9999901740946796
BerkeleyDBC,divDistBased,0.112,1.0,0.9999912002436734
BerkeleyDBC,divDistBased,0.113,1.0,0.9999921202081854
BerkeleyDBC,divDistBased,0.114,1.0,0.9999929448744784
BerkeleyDBC,divDistBased,0.115,1.0,0.9999936840231664
BerkeleyDBC,divDistBased,0.116,1.0,0.9999943464404468
BerkeleyDBC,divDistBased,0.117,1.0,0.9999949400182484
BerkeleyDBC,divDistBased,0.118,1.0,0.9999954718443904
BerkeleyDBC,divDistBased,0.119,1.0,0.9999959482837392
BerkeleyDBC,divDistBased,0.12,1.0,0.999996375051251
BerkeleyDBC,divDistBased,0.121,1.0,0.9999967572777072
BerkeleyDBC,divDistBased,0.122,1.0,0.9999970995688628
BerkeleyDBC,divDistBased,0.123,1.0,0.9999974060586644
BerkeleyDBC,divDistBased,0.124,1.0,0.9999976804571252
BerkeleyDBC,divDistBased,0.125,1.0,0.999997926093388
BerkeleyDBC,divDistBased,0.126,1.0,0.9999981459544562
BerkeleyDBC,divDistBased,0.127,1.0,0.9999983427200236
BerkeleyDBC,divDistBased,0.128,1.0,0.9999985187937926
BerkeleyDBC,divDistBased,0.129,1.0,0.9999986763316314
BerkeleyDBC,divDistBased,0.13,1.0,0.9999988172668852
BerkeleyDBC,divDistBased,0.131,1.0,0.9999989433331278
BerkeleyDBC,divDistBased,0.132,1.0,0.9999990560846096
BerkeleyDBC,divDistBased,0.133,1.0,0.9999991569146308
BerkeleyDBC,divDistBased,0.134,1.0,0.9999992470720526
BerkeleyDBC,divDistBased,0.135,1.0,0.9999993276761284
BerkeleyDBC,divDistBased,0.136,1.0,0.9999993997298288
BerkeleyDBC,divDistBased,0.137,1.0,0.9999994641318066
BerkeleyDBC,divDistBased,0.138,1.0,0.9999995216871476
BerkeleyDBC,divDistBased,0.139,1.0,0.9999995731170171
BerkeleyDBC,divDistBased,0.14,1.0,0.999999619067329
BerkeleyDBC,divDistBased,0.141,1.0,0.9999996601165206
BerkeleyDBC,divDistBased,0.142,1.0,0.9999996967825374
BerkeleyDBC,divDistBased,0.143,1.0,0.9999997295290984
BerkeleyDBC,divDistBased,0.144,1.0,0.9999997587713212
BerkeleyDBC,divDistBased,0.145,1.0,0.9999997848807656
BerkeleyDBC,divDistBased,0.146,1.0,0.9999998081899636
BerkeleyDBC,divDistBased,0.147,1.0,0.9999998289964784
BerkeleyDBC,divDistBased,0.148,1.0,0.9999998475665473
BerkeleyDBC,divDistBased,0.149,1.0,0.9999998641383488
