Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,solverBased,0.122,0.07,0.8752868483517665
Polly,solverBased,0.123,0.07,0.8775402146509984
Polly,solverBased,0.124,0.07,0.8797553676881592
Polly,solverBased,0.125,0.07,0.8819329129787512
Polly,solverBased,0.126,0.07,0.8840734471186976
Polly,solverBased,0.127,0.07,0.8861775579057641
Polly,solverBased,0.128,0.07,0.8882458244594625
Polly,solverBased,0.129,0.07,0.8902788173394565
Polly,solverBased,0.13,0.07,0.8922770986624824
Polly,solverBased,0.131,0.07,0.8942412222178071
Polly,solverBased,0.132,0.07,0.8961717335812345
Polly,solverBased,0.133,0.07,0.8980691702276811
Polly,solverBased,0.134,0.07,0.899934061642335
Polly,solverBased,0.135,0.07,0.9017669294304156
Polly,solverBased,0.136,0.07,0.9035682874255484
Polly,solverBased,0.137,0.07,0.9053386417967731
Polly,solverBased,0.138,0.07,0.9070784911541998
Polly,solverBased,0.139,0.07,0.9087883266533264
Polly,solverBased,0.14,0.07,0.910468632098038
Polly,solverBased,0.141,0.07,0.9121198840422968
Polly,solverBased,0.142,0.07,0.9137425518905442
Polly,solverBased,0.143,0.07,0.915337097996825
Polly,solverBased,0.144,0.07,0.916903977762651
Polly,solverBased,0.145,0.07,0.9184436397336174
Polly,solverBased,0.146,0.07,0.9199565256947884
Polly,solverBased,0.147,0.07,0.9214430707648628
Polly,solverBased,0.148,0.07,0.9229037034891384
Polly,solverBased,0.149,0.07,0.9243388459312836
Polly,solverBased,0.15,0.07,0.925748913763936
Polly,solverBased,0.151,0.07,0.927134316358138
Polly,solverBased,0.152,0.07,0.9284954568716224
Polly,solverBased,0.153,0.07,0.9298327323359644
Polly,solverBased,0.154,0.07,0.9311465337426106
Polly,solverBased,0.155,0.07,0.9324372461278014
Polly,solverBased,0.156,0.07,0.9337052486563948
Polly,solverBased,0.157,0.07,0.9349509147046092
Polly,solverBased,0.158,0.07,0.9361746119416956
Polly,solverBased,0.159,0.07,0.9373767024105512
Polly,solverBased,0.16,0.07,0.9385575426072912
Polly,solverBased,0.161,0.07,0.9397174835597834
Polly,solverBased,0.162,0.07,0.9408568709051652
Polly,solverBased,0.163,0.07,0.9419760449663522
Polly,solverBased,0.164,0.07,0.9430753408275484
Polly,solverBased,0.165,0.07,0.9441550884087728
Polly,solverBased,0.166,0.07,0.9452156125394136
Polly,solverBased,0.167,0.07,0.94625723303082
Polly,solverBased,0.168,0.07,0.9472802647479444
Polly,solverBased,0.169,0.07,0.9482850176800446
Polly,solverBased,0.17,0.07,0.9492717970104614
Polly,solverBased,0.171,0.07,0.9502409031854766
Polly,solverBased,0.172,0.07,0.9511926319822672
Polly,solverBased,0.173,0.07,0.952127274575966
Polly,solverBased,0.174,0.07,0.9530451176058335
Polly,solverBased,0.175,0.07,0.9539464432405644
Polly,solverBased,0.176,0.07,0.9548315292427229
Polly,solverBased,0.177,0.07,0.955700649032332
Polly,solverBased,0.178,0.07,0.9565540717496158
Polly,solverBased,0.179,0.07,0.9573920623169146
Polly,solverBased,0.18,0.07,0.958214881499773
Polly,solverBased,0.181,0.07,0.9590227859672196
Polly,solverBased,0.182,0.07,0.9598160283512424
Polly,solverBased,0.183,0.07,0.960594857305474
Polly,solverBased,0.184,0.07,0.9613595175630898
Polly,solverBased,0.185,0.07,0.9621102499939383
Polly,solverBased,0.186,0.07,0.962847291660902
Polly,solverBased,0.187,0.07,0.9635708758755074
Polly,solverBased,0.188,0.07,0.9642812322527878
Polly,solverBased,0.189,0.07,0.9649785867654104
Polly,solverBased,0.19,0.07,0.9656631617970748
Polly,solverBased,0.191,0.07,0.9663351761951948
Polly,solverBased,0.192,0.07,0.966994845322869
Polly,solverBased,0.193,0.07,0.9676423811101508
Polly,solverBased,0.194,0.07,0.9682779921046272
Polly,solverBased,0.195,0.07,0.9689018835213108
Polly,solverBased,0.196,0.07,0.9695142572918598
Polly,solverBased,0.197,0.07,0.9701153121131288
Polly,solverBased,0.198,0.07,0.9707052434950608
Polly,solverBased,0.199,0.07,0.9712842438079288
Polly,solverBased,0.2,0.07,0.9718525023289344
Polly,solverBased,0.201,0.07,0.9724102052881728
Polly,solverBased,0.202,0.07,0.9729575359139688
Polly,solverBased,0.203,0.07,0.973494674477596
Polly,solverBased,0.204,0.07,0.9740217983373812
Polly,solverBased,0.205,0.07,0.9745390819822104
Polly,solverBased,0.206,0.07,0.9750466970744324
Polly,solverBased,0.207,0.07,0.975544812492178
Polly,solverBased,0.208,0.07,0.9760335943710964
Polly,solverBased,0.209,0.07,0.9765132061455156
Polly,solverBased,0.21,0.07,0.976983808589039
Polly,solverBased,0.211,0.07,0.9774455598545794
Polly,solverBased,0.212,0.07,0.9778986155138416
Polly,solverBased,0.213,0.07,0.978343128596258
Polly,solverBased,0.214,0.07,0.9787792496273866
Polly,solverBased,0.215,0.07,0.979207126666775
Polly,solverBased,0.216,0.07,0.9796269053453002
Polly,solverBased,0.217,0.07,0.9800387289019884
Polly,solverBased,0.218,0.07,0.9804427382203242
Polly,solverBased,0.219,0.07,0.9808390718640512
Polly,solverBased,0.22,0.07,0.9812278661124756
Polly,solverBased,0.221,0.07,0.9816092549952758
Polly,solverBased,0.222,0.07,0.981983370326825
Polly,solverBased,0.223,0.07,0.9823503417400334
Polly,solverBased,0.224,0.07,0.9827102967197155
Polly,solverBased,0.225,0.07,0.9830633606354896
Polly,solverBased,0.226,0.07,0.9834096567742144
Polly,solverBased,0.227,0.07,0.9837493063719688
Polly,solverBased,0.228,0.07,0.9840824286455824
Polly,solverBased,0.229,0.07,0.9844091408237182
Polly,solverBased,0.23,0.07,0.9847295581775198
Polly,solverBased,0.231,0.07,0.985043794050822
Polly,solverBased,0.232,0.07,0.9853519598899348
Polly,solverBased,0.233,0.07,0.9856541652730046
Polly,solverBased,0.234,0.07,0.9859505179389592
Polly,solverBased,0.235,0.07,0.9862411238160396
Polly,solverBased,0.236,0.07,0.9865260870499268
Polly,solverBased,0.237,0.07,0.9868055100314674
Polly,solverBased,0.238,0.07,0.9870794934240034
Polly,solverBased,0.239,0.07,0.98734813619031
Polly,solverBased,0.24,0.07,0.9876115356191506
Polly,solverBased,0.241,0.07,0.9878697873514478
Polly,solverBased,0.242,0.07,0.9881229854060825
Polly,solverBased,0.243,0.07,0.988371222205318
Polly,solverBased,0.244,0.07,0.9886145885998642
Polly,solverBased,0.245,0.07,0.9888531738935732
Polly,solverBased,0.246,0.07,0.989087065867785
Polly,solverBased,0.247,0.07,0.9893163508053194
Polly,solverBased,0.248,0.07,0.9895411135141192
Polly,solverBased,0.249,0.07,0.9897614373505536
Polly,solverBased,0.25,0.07,0.9899774042423816
Polly,solverBased,0.251,0.07,0.9901890947113832
Polly,solverBased,0.252,0.07,0.990396587895662
Polly,solverBased,0.253,0.07,0.9905999615716212
Polly,solverBased,0.254,0.07,0.9907992921756196
Polly,solverBased,0.255,0.07,0.9909946548253142
Polly,solverBased,0.256,0.07,0.9911861233406876
Polly,solverBased,0.257,0.07,0.9913737702647676
Polly,solverBased,0.258,0.07,0.9915576668840472
Polly,solverBased,0.259,0.07,0.9917378832485988
Polly,solverBased,0.26,0.07,0.9919144881918986
Polly,solverBased,0.261,0.07,0.9920875493503548
Polly,solverBased,0.262,0.07,0.9922571331825512
Polly,solverBased,0.263,0.07,0.9924233049882052
Polly,solverBased,0.264,0.07,0.9925861289268456
Polly,solverBased,0.265,0.07,0.9927456680362156
Polly,solverBased,0.266,0.07,0.9929019842504014
Polly,solverBased,0.267,0.07,0.9930551384176928
Polly,solverBased,0.268,0.07,0.9932051903181784
Polly,solverBased,0.269,0.11,0.9933521986810786
Polly,solverBased,0.27,0.11,0.993496221201822
Polly,solverBased,0.271,0.11,0.993637314558864
Polly,solverBased,0.272,0.12,0.9937755344302583
Polly,solverBased,0.273,0.12,0.9939109355099768
Polly,solverBased,0.274,0.12,0.9940435715239871
Polly,solverBased,0.275,0.13,0.9941734952460892
Polly,solverBased,0.276,0.13,0.9943007585135132
Polly,solverBased,0.277,0.14,0.994425412242282
Polly,solverBased,0.278,0.14,0.9945475064423456
Polly,solverBased,0.279,0.18,0.9946670902324838
Polly,solverBased,0.28,0.18,0.9947842118549856
Polly,solverBased,0.281,0.18,0.9948989186901062
Polly,solverBased,0.282,0.18,0.995011257270306
Polly,solverBased,0.283,0.18,0.995121273294272
Polly,solverBased,0.284,0.18,0.9952290116407282
Polly,solverBased,0.285,0.18,0.995334516382034
Polly,solverBased,0.286,0.18,0.9954378307975784
Polly,solverBased,0.287,0.18,0.995538997386966
Polly,solverBased,0.288,0.18,0.9956380578830064
Polly,solverBased,0.289,0.2,0.9957350532645012
Polly,solverBased,0.29,0.2,0.9958300237688364
Polly,solverBased,0.291,0.2,0.995923008904383
Polly,solverBased,0.292,0.2,0.996014047462706
Polly,solverBased,0.293,0.2,0.9961031775305854
Polly,solverBased,0.294,0.24,0.9961904365018528
Polly,solverBased,0.295,0.24,0.996275861089046
Polly,solverBased,0.296,0.24,0.9963594873348824
Polly,solverBased,0.297,0.24,0.996441350623556
Polly,solverBased,0.298,0.24,0.9965214856918588
Polly,solverBased,0.299,0.24,0.9965999266401312
Polly,solverBased,0.3,0.24,0.99667670694304
Polly,solverBased,0.301,0.24,0.9967518594601912
Polly,solverBased,0.302,0.25,0.9968254164465762
Polly,solverBased,0.303,0.3,0.9968974095628554
Polly,solverBased,0.304,0.3,0.9969678698854818
Polly,solverBased,0.305,0.3,0.9970368279166648
Polly,solverBased,0.306,0.3,0.9971043135941808
Polly,solverBased,0.307,0.3,0.9971703563010256
Polly,solverBased,0.308,0.3,0.997234984874921
Polly,solverBased,0.309,0.3,0.997298227617666
Polly,solverBased,0.31,0.3,0.9973601123043448
Polly,solverBased,0.311,0.3,0.9974206661923884
Polly,solverBased,0.312,0.3,0.9974799160304922
Polly,solverBased,0.313,0.3,0.997537888067394
Polly,solverBased,0.314,0.3,0.9975946080605114
Polly,solverBased,0.315,0.3,0.9976501012844446
Polly,solverBased,0.316,0.3,0.9977043925393414
Polly,solverBased,0.317,0.3,0.9977575061591304
Polly,solverBased,0.318,0.34,0.9978094660196236
Polly,solverBased,0.319,0.34,0.9978602955464894
Polly,solverBased,0.32,0.38,0.9979100177230964
Polly,solverBased,0.321,0.38,0.9979586550982352
Polly,solverBased,0.322,0.38,0.9980062297937132
Polly,solverBased,0.323,0.38,0.9980527635118304
