Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,SRSSampling,0.113,0.87,0.8531824686784707
Polly,SRSSampling,0.114,0.87,0.8558085363731334
Polly,SRSSampling,0.115,0.87,0.8583905189770628
Polly,SRSSampling,0.116,0.87,0.8609291080049797
Polly,SRSSampling,0.117,0.87,0.8634249848880405
Polly,SRSSampling,0.118,0.88,0.8658788211097161
Polly,SRSSampling,0.119,0.88,0.8682912783399911
Polly,SRSSampling,0.12,0.9,0.8706630085679009
Polly,SRSSampling,0.121,0.9,0.872994654232427
Polly,SRSSampling,0.122,0.9,0.8752868483517665
Polly,SRSSampling,0.123,0.9,0.8775402146509984
Polly,SRSSampling,0.124,0.9,0.8797553676881592
Polly,SRSSampling,0.125,0.9,0.8819329129787512
Polly,SRSSampling,0.126,0.9,0.8840734471186976
Polly,SRSSampling,0.127,0.9,0.8861775579057641
Polly,SRSSampling,0.128,0.9,0.8882458244594625
Polly,SRSSampling,0.129,0.9,0.8902788173394565
Polly,SRSSampling,0.13,0.9,0.8922770986624824
Polly,SRSSampling,0.131,0.92,0.8942412222178071
Polly,SRSSampling,0.132,0.92,0.8961717335812345
Polly,SRSSampling,0.133,0.93,0.8980691702276811
Polly,SRSSampling,0.134,0.93,0.899934061642335
Polly,SRSSampling,0.135,0.93,0.9017669294304156
Polly,SRSSampling,0.136,0.94,0.9035682874255484
Polly,SRSSampling,0.137,0.94,0.9053386417967731
Polly,SRSSampling,0.138,0.94,0.9070784911541998
Polly,SRSSampling,0.139,0.94,0.9087883266533264
Polly,SRSSampling,0.14,0.94,0.910468632098038
Polly,SRSSampling,0.141,0.95,0.9121198840422968
Polly,SRSSampling,0.142,0.95,0.9137425518905442
Polly,SRSSampling,0.143,0.96,0.915337097996825
Polly,SRSSampling,0.144,0.96,0.916903977762651
Polly,SRSSampling,0.145,0.96,0.9184436397336174
Polly,SRSSampling,0.146,0.96,0.9199565256947884
Polly,SRSSampling,0.147,0.96,0.9214430707648628
Polly,SRSSampling,0.148,0.96,0.9229037034891384
Polly,SRSSampling,0.149,0.96,0.9243388459312836
Polly,SRSSampling,0.15,0.96,0.925748913763936
Polly,SRSSampling,0.151,0.96,0.927134316358138
Polly,SRSSampling,0.152,0.96,0.9284954568716224
Polly,SRSSampling,0.153,0.96,0.9298327323359644
Polly,SRSSampling,0.154,0.96,0.9311465337426106
Polly,SRSSampling,0.155,0.96,0.9324372461278014
Polly,SRSSampling,0.156,0.96,0.9337052486563948
Polly,SRSSampling,0.157,0.96,0.9349509147046092
Polly,SRSSampling,0.158,0.96,0.9361746119416956
Polly,SRSSampling,0.159,0.96,0.9373767024105512
Polly,SRSSampling,0.16,0.96,0.9385575426072912
Polly,SRSSampling,0.161,0.96,0.9397174835597834
Polly,SRSSampling,0.162,0.96,0.9408568709051652
Polly,SRSSampling,0.163,0.96,0.9419760449663522
Polly,SRSSampling,0.164,0.96,0.9430753408275484
Polly,SRSSampling,0.165,0.96,0.9441550884087728
Polly,SRSSampling,0.166,0.97,0.9452156125394136
Polly,SRSSampling,0.167,0.97,0.94625723303082
Polly,SRSSampling,0.168,0.97,0.9472802647479444
Polly,SRSSampling,0.169,0.97,0.9482850176800446
Polly,SRSSampling,0.17,0.97,0.9492717970104614
Polly,SRSSampling,0.171,0.97,0.9502409031854766
Polly,SRSSampling,0.172,0.97,0.9511926319822672
Polly,SRSSampling,0.173,0.99,0.952127274575966
Polly,SRSSampling,0.174,0.99,0.9530451176058335
Polly,SRSSampling,0.175,0.99,0.9539464432405644
Polly,SRSSampling,0.176,1.0,0.9548315292427229
Polly,SRSSampling,0.177,1.0,0.955700649032332
Polly,SRSSampling,0.178,1.0,0.9565540717496158
Polly,SRSSampling,0.179,1.0,0.9573920623169146
Polly,SRSSampling,0.18,1.0,0.958214881499773
Polly,SRSSampling,0.181,1.0,0.9590227859672196
Polly,SRSSampling,0.182,1.0,0.9598160283512424
Polly,SRSSampling,0.183,1.0,0.960594857305474
Polly,SRSSampling,0.184,1.0,0.9613595175630898
Polly,SRSSampling,0.185,1.0,0.9621102499939383
Polly,SRSSampling,0.186,1.0,0.962847291660902
Polly,SRSSampling,0.187,1.0,0.9635708758755074
Polly,SRSSampling,0.188,1.0,0.9642812322527878
Polly,SRSSampling,0.189,1.0,0.9649785867654104
Polly,SRSSampling,0.19,1.0,0.9656631617970748
Polly,SRSSampling,0.191,1.0,0.9663351761951948
Polly,SRSSampling,0.192,1.0,0.966994845322869
Polly,SRSSampling,0.193,1.0,0.9676423811101508
Polly,SRSSampling,0.194,1.0,0.9682779921046272
Polly,SRSSampling,0.195,1.0,0.9689018835213108
Polly,SRSSampling,0.196,1.0,0.9695142572918598
Polly,SRSSampling,0.197,1.0,0.9701153121131288
Polly,SRSSampling,0.198,1.0,0.9707052434950608
Polly,SRSSampling,0.199,1.0,0.9712842438079288
Polly,SRSSampling,0.2,1.0,0.9718525023289344
Polly,SRSSampling,0.201,1.0,0.9724102052881728
Polly,SRSSampling,0.202,1.0,0.9729575359139688
Polly,SRSSampling,0.203,1.0,0.973494674477596
Polly,SRSSampling,0.204,1.0,0.9740217983373812
Polly,SRSSampling,0.205,1.0,0.9745390819822104
Polly,SRSSampling,0.206,1.0,0.9750466970744324
Polly,SRSSampling,0.207,1.0,0.975544812492178
Polly,SRSSampling,0.208,1.0,0.9760335943710964
Polly,SRSSampling,0.209,1.0,0.9765132061455156
Polly,SRSSampling,0.21,1.0,0.976983808589039
Polly,SRSSampling,0.211,1.0,0.9774455598545794
Polly,SRSSampling,0.212,1.0,0.9778986155138416
Polly,SRSSampling,0.213,1.0,0.978343128596258
Polly,SRSSampling,0.214,1.0,0.9787792496273866
Polly,SRSSampling,0.215,1.0,0.979207126666775
Polly,SRSSampling,0.216,1.0,0.9796269053453002
Polly,SRSSampling,0.217,1.0,0.9800387289019884
Polly,SRSSampling,0.218,1.0,0.9804427382203242
Polly,SRSSampling,0.219,1.0,0.9808390718640512
Polly,SRSSampling,0.22,1.0,0.9812278661124756
Polly,SRSSampling,0.221,1.0,0.9816092549952758
Polly,SRSSampling,0.222,1.0,0.981983370326825
Polly,SRSSampling,0.223,1.0,0.9823503417400334
Polly,SRSSampling,0.224,1.0,0.9827102967197155
Polly,SRSSampling,0.225,1.0,0.9830633606354896
Polly,SRSSampling,0.226,1.0,0.9834096567742144
Polly,SRSSampling,0.227,1.0,0.9837493063719688
Polly,SRSSampling,0.228,1.0,0.9840824286455824
Polly,SRSSampling,0.229,1.0,0.9844091408237182
Polly,SRSSampling,0.23,1.0,0.9847295581775198
Polly,SRSSampling,0.231,1.0,0.985043794050822
Polly,SRSSampling,0.232,1.0,0.9853519598899348
Polly,SRSSampling,0.233,1.0,0.9856541652730046
Polly,SRSSampling,0.234,1.0,0.9859505179389592
Polly,SRSSampling,0.235,1.0,0.9862411238160396
Polly,SRSSampling,0.236,1.0,0.9865260870499268
Polly,SRSSampling,0.237,1.0,0.9868055100314674
Polly,SRSSampling,0.238,1.0,0.9870794934240034
