Sample Set Size,Max Area,Min Area
1860,0.0006370604883222386,-0.9993629395116778
1861,0.0006367722187282654,-0.9993632277812717
1862,0.0006364842584487551,-0.9993635157415512
1863,0.0006361966069861058,-0.9993638033930139
1864,0.0006359092638438257,-0.9993640907361562
1865,0.0006356222285265334,-0.9993643777714735
1866,0.0006353355005398464,-0.9993646644994602
1867,0.0006350490793904928,-0.9993649509206095
1868,0.0006347629645861996,-0.9993652370354138
1869,0.0006344771556359152,-0.9993655228443641
1870,0.0006341916520492541,-0.9993658083479507
1871,0.000633906453337274,-0.9993660935466627
1872,0.000633621559011921,-0.9993663784409881
1873,0.0006333369685862511,-0.9993666630314137
1874,0.0006330526815742088,-0.9993669473184258
1875,0.0006327686974909597,-0.999367231302509
1876,0.0006324850158523354,-0.9993675149841477
1877,0.0006322016361758331,-0.9993677983638242
1878,0.000631918557979394,-0.9993680814420206
1879,0.0006316357807822914,-0.9993683642192177
1880,0.000631353304104576,-0.9993686466958954
1881,0.0006310711274676306,-0.9993689288725324
1882,0.0006307892503937262,-0.9993692107496063
1883,0.0006305076724060221,-0.999369492327594
1884,0.0006302263930286767,-0.9993697736069713
1885,0.0006299454117872916,-0.9993700545882127
1886,0.0006296647282078016,-0.9993703352717922
1887,0.0006293843418176959,-0.9993706156581823
1888,0.0006291042521451295,-0.9993708957478549
1889,0.0006288244587194791,-0.9993711755412805
1890,0.0006285449610710092,-0.999371455038929
1891,0.0006282657587310947,-0.9993717342412689
1892,0.0006279868512317766,-0.9993720131487682
1893,0.000627708238106317,-0.9993722917618937
1894,0.0006274299188890886,-0.9993725700811109
1895,0.0006271518931153519,-0.9993728481068846
1896,0.0006268741603210337,-0.999373125839679
1897,0.0006265967200436151,-0.9993734032799564
1898,0.0006263195718210213,-0.999373680428179
1899,0.0006260427151925096,-0.9993739572848075
1900,0.0006257661496980038,-0.999374233850302
1901,0.0006254898748786486,-0.9993745101251214
1902,0.000625213890276477,-0.9993747861097235
1903,0.0006249381954345212,-0.9993750618045655
1904,0.0006246627898965906,-0.9993753372101034
1905,0.0006243876732077158,-0.9993756123267923
1906,0.0006241128449135935,-0.9993758871550864
1907,0.0006238383045610307,-0.999376161695439
1908,0.0006235640516978336,-0.9993764359483022
1909,0.0006232900858728074,-0.9993767099141272
1910,0.0006230164066354238,-0.9993769835933646
1911,0.0006227430135363754,-0.9993772569864636
1912,0.0006224699061272432,-0.9993775300938728
1913,0.0006221970839601632,-0.9993778029160398
1914,0.0006219245465888257,-0.9993780754534112
1915,0.0006216522935674762,-0.9993783477064325
1916,0.0006213803244513594,-0.9993786196755486
1917,0.0006211086387967191,-0.9993788913612033
1918,0.0006208372361604653,-0.9993791627638395
1919,0.0006205661161008402,-0.9993794338838992
1920,0.0006202952781767523,-0.9993797047218232
1921,0.0006200247219478872,-0.9993799752780521
1922,0.0006197544469752625,-0.9993802455530247
1923,0.0006194844528204513,-0.9993805155471795
1924,0.0006192147390460256,-0.999380785260954
1925,0.0006189453052155569,-0.9993810546947844
1926,0.0006186761508935046,-0.9993813238491065
1927,0.0006184072756449943,-0.999381592724355
1928,0.000618138679036484,-0.9993818613209635
1929,0.0006178703606349867,-0.999382129639365
1930,0.0006176023200085146,-0.9993823976799915
1931,0.000617334556725968,-0.999382665443274
1932,0.0006170670703571357,-0.9993829329296429
1933,0.0006167998604726943,-0.9993832001395273
1934,0.0006165329266443198,-0.9993834670733557
1935,0.0006162662684443543,-0.9993837337315556
1936,0.0006159998854462501,-0.9993840001145537
1937,0.0006157337772241256,-0.9993842662227759
1938,0.0006154679433530985,-0.9993845320566469
1939,0.0006152023834091747,-0.9993847976165908
1940,0.000614937096969248,-0.9993850629030308
1941,0.0006146720836111008,-0.9993853279163889
1942,0.0006144073429130703,-0.9993855926570869
1943,0.0006141428744548261,-0.9993858571255452
1944,0.0006138786778167038,-0.9993861213221833
1945,0.0006136147525797053,-0.9993863852474203
1946,0.0006133510983260537,-0.999386648901674
1947,0.0006130877146386382,-0.9993869122853614
1948,0.0006128246011010141,-0.999387175398899
1949,0.000612561757298069,-0.9993874382427019
1950,0.0006122991828150237,-0.999387700817185
1951,0.00061203687723832,-0.9993879631227617
1952,0.000611774840155177,-0.9993882251598448
1953,0.00061151307115348,-0.9993884869288465
1954,0.0006112515698220022,-0.999388748430178
1955,0.0006109903357506274,-0.9993890096642494
1956,0.0006107293685297943,-0.9993892706314702
1957,0.0006104686677508298,-0.9993895313322492
