Case Study,Sampling Strategy,Sample Set Size,Area
Polly,solverBased,1500,-0.12267688583527654
Polly,solverBased,1510,-0.1192652890977038
Polly,solverBased,1520,-0.11895963449760848
Polly,solverBased,1530,-0.11889192316805568
Polly,solverBased,1540,-0.11857415621271832
Polly,solverBased,1550,-0.11739166804015742
Polly,solverBased,1560,-0.11739579303139928
Polly,solverBased,1570,-0.11707986554081125
Polly,solverBased,1580,-0.11530921989694429
Polly,solverBased,1590,-0.11512652373667717
Polly,solverBased,1600,-0.11385577800599692
Polly,solverBased,1610,-0.11144698362741684
Polly,solverBased,1620,-0.11115347483403344
Polly,solverBased,1630,-0.10820058583689017
Polly,solverBased,1640,-0.10652898415898221
Polly,solverBased,1650,-0.10295600396923708
Polly,solverBased,1660,-0.1029589794164715
Polly,solverBased,1670,-0.1027865779633264
Polly,solverBased,1680,-0.10277080038684668
Polly,solverBased,1690,-0.10220031411237397
Polly,solverBased,1700,-0.10199845321408636
Polly,solverBased,1710,-0.10164655174885233
Polly,solverBased,1720,-0.09747994375673347
Polly,solverBased,1730,-0.0971992965948029
Polly,solverBased,1740,-0.09590261093761397
Polly,solverBased,1750,-0.09451455411098568
Polly,solverBased,1760,-0.0936317934257733
Polly,solverBased,1770,-0.09358032951162389
Polly,solverBased,1780,-0.09279549631738424
Polly,solverBased,1790,-0.09203662777816196
Polly,solverBased,1800,-0.09071039114903996
Polly,solverBased,1810,-0.09016212033877846
Polly,solverBased,1820,-0.09016514924350476
Polly,solverBased,1830,-0.08973947841372465
Polly,solverBased,1840,-0.08974244172132267
Polly,solverBased,1850,-0.08789737302655153
Polly,solverBased,1860,-0.08758427284501108
Polly,solverBased,1870,-0.08758714168128406
Polly,solverBased,1880,-0.08735931336256206
Polly,solverBased,1890,-0.0873621217055956
Polly,solverBased,1900,-0.08683956718363531
Polly,solverBased,1910,-0.08603431692669783
Polly,solverBased,1920,-0.08528970472182326
Polly,solverBased,1930,-0.08363239767999149
Polly,solverBased,1940,-0.08339506290303066
Polly,solverBased,1950,-0.08241570081718495
Polly,solverBased,1960,-0.08166831184000849
Polly,solverBased,1970,-0.08157556304725233
Polly,solverBased,1980,-0.08087212150641149
Polly,solverBased,1990,-0.08018532094359881
Polly,solverBased,2000,-0.08006982841041271
Polly,solverBased,2010,-0.07989897761746542
Polly,solverBased,2020,-0.07978343560123902
Polly,solverBased,2030,-0.07774053605760232
Polly,solverBased,2040,-0.0777429460086559
Polly,solverBased,2050,-0.07765799913623832
Polly,solverBased,2060,-0.07718102911542761
Polly,solverBased,2070,-0.07612936961470433
Polly,solverBased,2080,-0.07602568762944341
Polly,solverBased,2090,-0.0756859834820679
Polly,solverBased,2100,-0.07568825748886535
Polly,SRSSampling,10,0.0006746666666672127
Polly,SRSSampling,20,0.0002745454545498876
Polly,SRSSampling,30,0.00019133333334831726
Polly,SRSSampling,40,0.0021041904762260106
Polly,SRSSampling,50,0.0012161025641719814
Polly,SRSSampling,60,0.002715032258184484
Polly,SRSSampling,70,0.0020235555557460727
Polly,SRSSampling,80,0.001900455284837245
Polly,SRSSampling,90,0.001601565217796253
Polly,SRSSampling,100,0.002111921569182947
Polly,SRSSampling,110,0.0022605714293108038
Polly,SRSSampling,120,0.002180054645768663
Polly,SRSSampling,130,0.0016850909103113716
Polly,SRSSampling,140,0.001268253522651096
Polly,SRSSampling,150,0.0012936140369625908
Polly,SRSSampling,160,0.0015941728417815757
Polly,SRSSampling,170,0.0017899534911013557
Polly,SRSSampling,180,0.001560505497745277
Polly,SRSSampling,190,0.0012930000038102948
Polly,SRSSampling,200,0.0012218283872824152
Polly,SRSSampling,210,0.0012503144705534289
Polly,SRSSampling,220,0.0011885045104196093
Polly,SRSSampling,230,0.0011016781676784452
Polly,SRSSampling,240,0.0009942314126380337
Polly,SRSSampling,250,0.0010135873102670903
Polly,SRSSampling,260,0.0009114605695599722
Polly,SRSSampling,270,0.000866470599169218
Polly,SRSSampling,280,0.0008220993029744293
Polly,SRSSampling,290,0.0007186575477945311
Polly,SRSSampling,300,0.0006679249598106203
Polly,SRSSampling,310,0.0007071282216767315
Polly,SRSSampling,320,0.0007715900803138895
Polly,SRSSampling,330,0.000730048212733358
Polly,SRSSampling,340,0.0006813099633528803
Polly,SRSSampling,350,0.000624242448058257
Polly,SRSSampling,360,0.0006137642984757159
Polly,SRSSampling,370,0.000546838737813252
Polly,SRSSampling,380,0.0005658010775994878
Polly,SRSSampling,390,0.0005410204411121653
Polly,SRSSampling,400,0.0005528955579367129
Polly,SRSSampling,410,0.0005785178376344062
Polly,SRSSampling,420,0.0005343349542633986
Polly,SRSSampling,430,0.0004888148589755302
Polly,SRSSampling,440,0.0004597768195607861
Polly,SRSSampling,450,0.0004297227644769974
Polly,SRSSampling,460,0.00045116888523066714
Polly,SRSSampling,470,0.0004246441254607968
Polly,SRSSampling,480,0.0004253555247702324
Polly,SRSSampling,490,0.00038852039054505555
Polly,SRSSampling,500,0.00039203194193367796
Polly,SRSSampling,510,0.00035312507367213445
Polly,SRSSampling,520,0.0003357088903509132
Polly,SRSSampling,530,0.0003250326641354019
Polly,SRSSampling,540,0.00042101853763413133
Polly,SRSSampling,550,0.0004015942952958351
Polly,SRSSampling,560,0.0004000261947997025
Polly,SRSSampling,570,0.00040491851776367383
Polly,SRSSampling,580,0.0004162131667714644
Polly,SRSSampling,590,0.0004178559699081144
Polly,SRSSampling,600,0.00040779635472167254
Polly,SRSSampling,610,0.00041998705414941914
Polly,SRSSampling,620,0.0004063838408113392
Polly,SRSSampling,630,0.00039227861986222625
Polly,SRSSampling,640,0.00038896587765200507
Polly,SRSSampling,650,0.00038974248378131915
Polly,SRSSampling,660,0.0003685741777643676
Polly,SRSSampling,670,0.0003740954050968429
Polly,SRSSampling,680,0.0003522758344127146
Polly,SRSSampling,690,0.00037108688760429564
Polly,SRSSampling,700,0.0003505016149462916
Polly,SRSSampling,710,0.0003351612474097713
Polly,SRSSampling,720,0.00031570842514579806
Polly,SRSSampling,730,0.0003167871012299658
Polly,SRSSampling,740,0.00030570911985706214
Polly,SRSSampling,750,0.0002877874682613342
Polly,SRSSampling,760,0.00029833620171390004
Polly,SRSSampling,770,0.0002813370410160431
Polly,SRSSampling,780,0.00026943930863325817
Polly,SRSSampling,790,0.00027062653633429696
Polly,SRSSampling,800,0.0002748830772462421
Polly,SRSSampling,810,0.00027352738861158906
Polly,SRSSampling,820,0.0002792119849036914
Polly,SRSSampling,830,0.0002785900609899708
Polly,SRSSampling,840,0.00030031545172846746
Polly,SRSSampling,850,0.0003763759277430403
Polly,SRSSampling,860,0.0003627598271461524
Polly,SRSSampling,870,0.00036612268966605444
Polly,SRSSampling,880,0.0003631205596542032
Polly,SRSSampling,890,0.00035040995779920826
Polly,SRSSampling,900,0.0003379811880556663
Polly,SRSSampling,910,0.0003258249796434674
Polly,SRSSampling,920,0.0003139324639856858
Polly,SRSSampling,930,0.0003056284864644891
Polly,SRSSampling,940,0.0003015715862180724
Polly,SRSSampling,950,0.0003117539772108953
Polly,SRSSampling,960,0.00030083486381790163
Polly,SRSSampling,970,0.0002901404241710316
Polly,SRSSampling,980,0.0002823304611899236
Polly,SRSSampling,990,0.000272065054558342
Polly,SRSSampling,1000,0.00027733788024692386
Polly,SRSSampling,1010,0.0002808095308547378
Polly,SRSSampling,1020,0.0002751408367135675
Polly,SRSSampling,1030,0.00026632618770318703
Polly,SRSSampling,1040,0.00025702685572986424
Polly,SRSSampling,1050,0.00025123765115729434
Polly,SRSSampling,1060,0.00025028691314915667
Polly,SRSSampling,1070,0.00024350316721886614
Polly,SRSSampling,1080,0.0002348817832848847
Polly,SRSSampling,1090,0.00023041830086585022
Polly,SRSSampling,1100,0.0002221084213854688
Polly,SRSSampling,1110,0.00021394800089261025
Polly,SRSSampling,1120,0.0002059330431707041
Polly,SRSSampling,1130,0.0002160596932123609
Polly,SRSSampling,1140,0.00020899089770350093
Polly,SRSSampling,1150,0.0002013897324961551
Polly,SRSSampling,1160,0.00019525273038387738
Polly,SRSSampling,1170,0.00019990987582835663
Polly,SRSSampling,1180,0.00021335793328704867
