Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,DiversifiedDistanceBased,0.001,-0.07190173942198885
7z,DiversifiedDistanceBased,0.002,-0.04976915145169214
7z,DiversifiedDistanceBased,0.003,-0.09564226588957192
7z,DiversifiedDistanceBased,0.004,-0.05007873815134645
7z,DiversifiedDistanceBased,0.005,-0.0308332470005116
7z,DiversifiedDistanceBased,0.006,-0.03313313316317845
7z,DiversifiedDistanceBased,0.007,-0.01532769501946818
7z,DiversifiedDistanceBased,0.008,-0.02199216779055968
7z,DiversifiedDistanceBased,0.009,-0.005632163776845722
7z,DiversifiedDistanceBased,0.01,-0.007619040801602028
7z,DiversifiedDistanceBased,0.011,-0.008702906598845539
7z,DiversifiedDistanceBased,0.012,-0.009293806530431326
7z,DiversifiedDistanceBased,0.013,-0.00961575453150898
7z,DiversifiedDistanceBased,0.014,-0.009791057936399228
7z,DiversifiedDistanceBased,0.015,0.00011354670318874938
7z,DiversifiedDistanceBased,0.016,6.166718970668228e-05
7z,DiversifiedDistanceBased,0.017,3.347065544689887e-05
7z,DiversifiedDistanceBased,0.018,1.815533053051155e-05
7z,DiversifiedDistanceBased,0.019,9.84177507390438e-06
7z,DiversifiedDistanceBased,0.02,5.33177103723137e-06
7z,DiversifiedDistanceBased,0.021,2.8866742199928908e-06
7z,DiversifiedDistanceBased,0.022,1.5618946141993106e-06
7z,DiversifiedDistanceBased,0.023,8.445644463783708e-07
7z,DiversifiedDistanceBased,0.024,4.5639451640155926e-07
7z,DiversifiedDistanceBased,0.025,2.464756581055383e-07
7z,DiversifiedDistanceBased,0.026,1.3302494372702256e-07
7z,DiversifiedDistanceBased,0.027,7.174918981167622e-08
7z,DiversifiedDistanceBased,0.028,3.86745456770754e-08
7z,DiversifiedDistanceBased,0.029,2.0833257119434734e-08
7z,DiversifiedDistanceBased,0.03,1.1215336104264395e-08
7z,DiversifiedDistanceBased,0.031,6.0337874696614335e-09
