Case Study,Sampling Strategy,Robustness,Confidence Difference
7z,RandomSampling,0.131,0.0
7z,RandomSampling,0.132,0.0
7z,RandomSampling,0.133,0.0
7z,RandomSampling,0.134,0.0
7z,RandomSampling,0.135,0.0
7z,RandomSampling,0.136,0.0
7z,RandomSampling,0.137,0.0
7z,RandomSampling,0.138,0.0
7z,RandomSampling,0.139,0.0
7z,RandomSampling,0.14,0.0
7z,RandomSampling,0.141,0.0
7z,RandomSampling,0.142,0.0
7z,RandomSampling,0.143,0.0
7z,RandomSampling,0.144,0.0
7z,RandomSampling,0.145,0.0
7z,RandomSampling,0.146,0.0
7z,RandomSampling,0.147,0.0
7z,RandomSampling,0.148,0.0
7z,RandomSampling,0.149,0.0
7z,DiversifiedDistanceBased,0.0,0.0
7z,DiversifiedDistanceBased,0.001,-0.050033674876056894
7z,DiversifiedDistanceBased,0.002,-0.032614955583173455
7z,DiversifiedDistanceBased,0.003,-0.025197997895147872
7z,DiversifiedDistanceBased,0.004,-0.010731597389134762
7z,DiversifiedDistanceBased,0.005,-0.0388192611584568
7z,DiversifiedDistanceBased,0.006,-0.026581317971901885
7z,DiversifiedDistanceBased,0.007,-0.02929540669192343
7z,DiversifiedDistanceBased,0.008,-0.03087217296621214
7z,DiversifiedDistanceBased,0.009,-0.004208467891788081
7z,DiversifiedDistanceBased,0.01,-0.011449514869427135
7z,DiversifiedDistanceBased,0.011,-0.004183448327040651
7z,DiversifiedDistanceBased,0.012,-0.013585626111265348
7z,DiversifiedDistanceBased,0.013,-0.0005256507836428614
7z,DiversifiedDistanceBased,0.014,0.014353287940759296
7z,DiversifiedDistanceBased,0.015,0.010575608854384133
7z,DiversifiedDistanceBased,0.016,0.007789769872812324
7z,DiversifiedDistanceBased,0.017,0.005735996365434648
7z,DiversifiedDistanceBased,0.018,0.0042223849399344315
7z,DiversifiedDistanceBased,0.019,0.0031072144032051607
7z,DiversifiedDistanceBased,0.02,0.0022858555545923753
7z,DiversifiedDistanceBased,0.021,0.001681087166507389
7z,DiversifiedDistanceBased,0.022,0.0012359340324894497
7z,DiversifiedDistanceBased,0.023,0.0009083718754513415
7z,DiversifiedDistanceBased,0.024,0.0006674137007711689
7z,DiversifiedDistanceBased,0.025,0.0004902180806736212
7z,DiversifiedDistanceBased,0.026,0.0003599531847900961
7z,DiversifiedDistanceBased,0.027,0.00026421953309152535
7z,DiversifiedDistanceBased,0.028,0.0001938856838609171
7z,DiversifiedDistanceBased,0.029,0.00014222901498206486
7z,DiversifiedDistanceBased,0.03,0.00010430185061760522
7z,DiversifiedDistanceBased,0.031,7.64639787144139e-05
7z,DiversifiedDistanceBased,0.032,5.603799005615695e-05
7z,DiversifiedDistanceBased,0.033,4.105524980491104e-05
7z,DiversifiedDistanceBased,0.034,3.0068727624121827e-05
7z,DiversifiedDistanceBased,0.035,2.201513315081005e-05
7z,DiversifiedDistanceBased,0.036,1.6113400614803375e-05
7z,DiversifiedDistanceBased,0.037,1.1789962519936914e-05
7z,DiversifiedDistanceBased,0.038,8.62376043331281e-06
7z,DiversifiedDistanceBased,0.039,6.3057926827925215e-06
7z,DiversifiedDistanceBased,0.04,4.609365478858152e-06
7z,DiversifiedDistanceBased,0.041,3.3682223892217422e-06
7z,DiversifiedDistanceBased,0.042,2.4604708980247025e-06
7z,DiversifiedDistanceBased,0.043,1.7967732398593839e-06
7z,DiversifiedDistanceBased,0.044,1.3116729884465883e-06
7z,DiversifiedDistanceBased,0.045,9.5722679427368e-07
7z,DiversifiedDistanceBased,0.046,6.983301388263641e-07
7z,DiversifiedDistanceBased,0.047,5.092875882128922e-07
7z,DiversifiedDistanceBased,0.048,3.712970201297239e-07
7z,DiversifiedDistanceBased,0.049,2.706048637390879e-07
7z,DiversifiedDistanceBased,0.05,1.9715381804896737e-07
7z,DiversifiedDistanceBased,0.051,1.4359189948187634e-07
7z,DiversifiedDistanceBased,0.052,1.0454650978264368e-07
7z,DiversifiedDistanceBased,0.053,7.609282015597074e-08
