Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,SRSSampling,0.078,8.626740433115287e-10
BerkeleyDBC,SRSSampling,0.079,6.527171025894063e-10
BerkeleyDBC,SRSSampling,0.08,4.937096287349618e-10
BerkeleyDBC,SRSSampling,0.081,3.7332448243887484e-10
BerkeleyDBC,SRSSampling,0.082,2.8220781267407347e-10
BerkeleyDBC,SRSSampling,0.083,2.132648502239931e-10
BerkeleyDBC,SRSSampling,0.084,1.6111523226669533e-10
BerkeleyDBC,SRSSampling,0.085,1.2168055452121962e-10
BerkeleyDBC,SRSSampling,0.086,9.186973404240462e-11
BerkeleyDBC,SRSSampling,0.087,6.934097740440848e-11
BerkeleyDBC,SRSSampling,0.088,5.2320703325392515e-11
BerkeleyDBC,SRSSampling,0.089,3.946598603477014e-11
BerkeleyDBC,SRSSampling,0.09,2.976030533119456e-11
BerkeleyDBC,SRSSampling,0.091,2.2434609725507926e-11
BerkeleyDBC,SRSSampling,0.092,1.690680928589927e-11
BerkeleyDBC,SRSSampling,0.093,1.2737144672314571e-11
BerkeleyDBC,SRSSampling,0.094,9.592882044273665e-12
BerkeleyDBC,SRSSampling,0.095,7.222444864396493e-12
BerkeleyDBC,SRSSampling,0.096,5.4360960177746165e-12
BerkeleyDBC,SRSSampling,0.097,4.090283667324002e-12
BerkeleyDBC,SRSSampling,0.098,3.076650045841234e-12
BerkeleyDBC,SRSSampling,0.099,2.313482738713901e-12
BerkeleyDBC,SRSSampling,0.1,1.7390533457728452e-12
BerkeleyDBC,SRSSampling,0.101,1.3068435222862718e-12
BerkeleyDBC,SRSSampling,0.102,9.81770220676026e-13
BerkeleyDBC,SRSSampling,0.103,7.372991106535665e-13
BerkeleyDBC,SRSSampling,0.104,5.535572000781031e-13
BerkeleyDBC,SRSSampling,0.105,4.154454558147336e-13
BerkeleyDBC,SRSSampling,0.106,3.1175062531474396e-13
BerkeleyDBC,SRSSampling,0.107,2.3381296898605797e-13
BerkeleyDBC,SRSSampling,0.108,1.7530421558831222e-13
BerkeleyDBC,SRSSampling,0.109,1.3133938381315602e-13
BerkeleyDBC,SRSSampling,0.11,9.847678228425139e-14
BerkeleyDBC,SRSSampling,0.111,7.37188088351104e-14
BerkeleyDBC,SRSSampling,0.112,5.517808432387028e-14
BerkeleyDBC,SRSSampling,0.113,4.1300296516055823e-14
BerkeleyDBC,SRSSampling,0.114,3.097522238704187e-14
BerkeleyDBC,SRSSampling,0.115,2.3092638912203256e-14
BerkeleyDBC,SRSSampling,0.116,1.7319479184152442e-14
BerkeleyDBC,SRSSampling,0.117,1.2989609388114332e-14
BerkeleyDBC,SRSSampling,0.118,9.658940314238862e-15
BerkeleyDBC,SRSSampling,0.119,7.216449660063518e-15
BerkeleyDBC,SRSSampling,0.12,5.440092820663267e-15
BerkeleyDBC,SRSSampling,0.121,3.9968028886505635e-15
BerkeleyDBC,SRSSampling,0.122,2.9976021664879227e-15
BerkeleyDBC,SRSSampling,0.123,2.220446049250313e-15
BerkeleyDBC,SRSSampling,0.124,1.6653345369377348e-15
BerkeleyDBC,SRSSampling,0.125,1.2212453270876722e-15
BerkeleyDBC,SRSSampling,0.126,8.881784197001252e-16
BerkeleyDBC,SRSSampling,0.127,6.661338147750939e-16
BerkeleyDBC,SRSSampling,0.128,5.551115123125783e-16
BerkeleyDBC,SRSSampling,0.129,3.3306690738754696e-16
BerkeleyDBC,SRSSampling,0.13,3.3306690738754696e-16
BerkeleyDBC,SRSSampling,0.131,2.220446049250313e-16
BerkeleyDBC,SRSSampling,0.132,1.1102230246251565e-16
BerkeleyDBC,SRSSampling,0.133,1.1102230246251565e-16
BerkeleyDBC,SRSSampling,0.134,1.1102230246251565e-16
BerkeleyDBC,SRSSampling,0.135,1.1102230246251565e-16
BerkeleyDBC,SRSSampling,0.136,0.0
BerkeleyDBC,SRSSampling,0.137,0.0
BerkeleyDBC,SRSSampling,0.138,0.0
BerkeleyDBC,SRSSampling,0.139,0.0
BerkeleyDBC,SRSSampling,0.14,0.0
BerkeleyDBC,SRSSampling,0.141,0.0
BerkeleyDBC,SRSSampling,0.142,0.0
BerkeleyDBC,SRSSampling,0.143,0.0
BerkeleyDBC,SRSSampling,0.144,0.0
BerkeleyDBC,SRSSampling,0.145,0.0
BerkeleyDBC,SRSSampling,0.146,0.0
BerkeleyDBC,SRSSampling,0.147,0.0
BerkeleyDBC,SRSSampling,0.148,0.0
BerkeleyDBC,SRSSampling,0.149,0.0
Dune,RandomSampling,0.0,0.0
Dune,RandomSampling,0.001,0.7936477332643055
Dune,RandomSampling,0.002,0.6297309483505618
Dune,RandomSampling,0.003,0.49955299836509903
Dune,RandomSampling,0.004,0.39619334464321865
Dune,RandomSampling,0.005,0.3141460853680821
Dune,RandomSampling,0.006,0.2490317931823396
Dune,RandomSampling,0.007,0.1973678464637303
Dune,RandomSampling,0.008,0.15638542244817666
Dune,RandomSampling,0.009,0.12388370521090886
Dune,RandomSampling,0.01,0.09811376736368593
Dune,RandomSampling,0.011,0.07768610705106727
Dune,RandomSampling,0.012,0.06149703817311103
Dune,RandomSampling,0.013,0.0486701031511787
Dune,RandomSampling,0.014,0.03850945314225962
Dune,RandomSampling,0.015,0.030462759721630817
Dune,RandomSampling,0.016,0.024091716149668874
Dune,RandomSampling,0.017,0.019048580571303986
Dune,RandomSampling,0.018,0.015057527977679452
Dune,RandomSampling,0.019,0.011899828564954196
Dune,RandomSampling,0.02,0.00940207010188554
Dune,RandomSampling,0.021,0.00742680133017859
Dune,RandomSampling,0.022,0.005865100468579354
Dune,RandomSampling,0.023,0.004630674121016032
Dune,RandomSampling,0.024,0.0036551725285920433
Dune,RandomSampling,0.025,0.0028844713279135847
Dune,RandomSampling,0.026,0.002275721114386231
Dune,RandomSampling,0.027,0.0017950068158709698
Dune,RandomSampling,0.028,0.0014154912789898777
Dune,RandomSampling,0.029,0.0011159432477600983
Dune,RandomSampling,0.03,0.0008795704198273357
Dune,RandomSampling,0.031,0.0006930945736953742
Dune,RandomSampling,0.032,0.0005460187271574268
Dune,RandomSampling,0.033,0.00043004659479328744
Dune,RandomSampling,0.034,0.000338622804287092
Dune,RandomSampling,0.035,0.00026656884018727567
Dune,RandomSampling,0.036,0.00020979485412320198
Dune,RandomSampling,0.037,0.00016507158667666832
Dune,RandomSampling,0.038,0.00012984990634701266
Dune,RandomSampling,0.039,0.00010211805900883775
Dune,RandomSampling,0.04,8.028877507204601e-05
Dune,RandomSampling,0.041,6.311001108016967e-05
Dune,RandomSampling,0.042,4.959439505192176e-05
Dune,RandomSampling,0.043,3.8963469930153316e-05
Dune,RandomSampling,0.044,3.0603642198312464e-05
Dune,RandomSampling,0.045,2.4031386916867348e-05
Dune,RandomSampling,0.046,1.8865770919473945e-05
Dune,RandomSampling,0.047,1.4806760354812987e-05
Dune,RandomSampling,0.048,1.1618099105770163e-05
Dune,RandomSampling,0.049,9.113798293269859e-06
Dune,RandomSampling,0.05,7.1474779087532525e-06
Dune,RandomSampling,0.051,5.6039605675906046e-06
Dune,RandomSampling,0.052,4.3926431667618004e-06
Dune,RandomSampling,0.053,3.442271726661339e-06
Dune,RandomSampling,0.054,2.6968234060342766e-06
Dune,RandomSampling,0.055,2.112261900610868e-06
Dune,RandomSampling,0.056,1.6539816342087121e-06
Dune,RandomSampling,0.057,1.2947950258634933e-06
Dune,RandomSampling,0.058,1.0133478377527538e-06
Dune,RandomSampling,0.059,7.928718731564643e-07
Dune,RandomSampling,0.06,6.202034553703939e-07
Dune,RandomSampling,0.061,4.850112512722049e-07
Dune,RandomSampling,0.062,3.7918894346677945e-07
Dune,RandomSampling,0.063,2.9637768061974157e-07
Dune,RandomSampling,0.064,2.3159066964151265e-07
Dune,RandomSampling,0.065,1.809181389145209e-07
Dune,RandomSampling,0.066,1.4129552561303882e-07
Dune,RandomSampling,0.067,1.1032138502731215e-07
Dune,RandomSampling,0.068,8.611439483718897e-08
Dune,RandomSampling,0.069,6.720108836066885e-08
Dune,RandomSampling,0.07,5.242773748470597e-08
Dune,RandomSampling,0.071,4.089120719807937e-08
Dune,RandomSampling,0.072,3.1884712536900395e-08
Dune,RandomSampling,0.073,2.4855275837509794e-08
Dune,RandomSampling,0.074,1.9370370307747464e-08
Dune,RandomSampling,0.075,1.5091772942454895e-08
Dune,RandomSampling,0.076,1.1755073581198872e-08
Dune,RandomSampling,0.077,9.153621194357697e-09
