Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,RandomSampling,0.093,1.0,0.9999299329017758
BerkeleyDBC,RandomSampling,0.094,1.0,0.9999371126387228
BerkeleyDBC,RandomSampling,0.095,1.0,0.9999435634103786
BerkeleyDBC,RandomSampling,0.096,1.0,0.9999493585436581
BerkeleyDBC,RandomSampling,0.097,1.0,0.9999545640586028
BerkeleyDBC,RandomSampling,0.098,1.0,0.9999592393895942
BerkeleyDBC,RandomSampling,0.099,1.0,0.999963438036063
BerkeleyDBC,RandomSampling,0.1,1.0,0.9999672081495214
BerkeleyDBC,RandomSampling,0.101,1.0,0.999970593063087
BerkeleyDBC,RandomSampling,0.102,1.0,0.9999736317690785
BerkeleyDBC,RandomSampling,0.103,1.0,0.9999763593497271
BerkeleyDBC,RandomSampling,0.104,1.0,0.9999788073655594
BerkeleyDBC,RandomSampling,0.105,1.0,0.9999810042055743
BerkeleyDBC,RandomSampling,0.106,1.0,0.9999829754029312
BerkeleyDBC,RandomSampling,0.107,1.0,0.9999847439195196
BerkeleyDBC,RandomSampling,0.108,1.0,0.9999863304024413
BerkeleyDBC,RandomSampling,0.109,1.0,0.9999877534151563
BerkeleyDBC,RandomSampling,0.11,1.0,0.9999890296457664
BerkeleyDBC,RandomSampling,0.111,1.0,0.9999901740946796
BerkeleyDBC,RandomSampling,0.112,1.0,0.9999912002436734
BerkeleyDBC,RandomSampling,0.113,1.0,0.9999921202081854
BerkeleyDBC,RandomSampling,0.114,1.0,0.9999929448744784
BerkeleyDBC,RandomSampling,0.115,1.0,0.9999936840231665
BerkeleyDBC,RandomSampling,0.116,1.0,0.9999943464404468
BerkeleyDBC,RandomSampling,0.117,1.0,0.9999949400182483
BerkeleyDBC,RandomSampling,0.118,1.0,0.9999954718443904
BerkeleyDBC,RandomSampling,0.119,1.0,0.9999959482837392
BerkeleyDBC,RandomSampling,0.12,1.0,0.999996375051251
BerkeleyDBC,RandomSampling,0.121,1.0,0.9999967572777072
